ID,Fecha,Producto,Categoría,Cliente,Cantidad,Precio Unitario,Método de Pago,Sucursal
26,2024-06-11,Monitor,Electrónica,Pedro,1,737.69,Yape,Sucursal Sur
27,2024-04-06,Mouse,Electrónica,Carlos,2,973.6,Efectivo,Sucursal Sur
28,2024-06-03,Teclado,Accesorios,Carlos,4,164.54,Efectivo,Sucursal Norte
29,2024-06-16,Teclado,Accesorios,Pedro,2,669.18,Yape,Sucursal Norte
30,2024-01-21,Laptop,Electrónica,Pedro,2,444.07,Efectivo,Sucursal Norte
31,2024-01-09,Monitor,Accesorios,Carlos,1,822.28,Plin,Sucursal Sur
32,2024-04-21,Impresora,Accesorios,Juan,3,699.8,Tarjeta,Sucursal Norte
33,2024-05-27,Teclado,Accesorios,Juan,1,820.88,Yape,Sucursal Norte
34,2024-05-26,Laptop,Electrónica,Pedro,2,122.87,Tarjeta,Sucursal Norte
35,2024-06-03,Monitor,Periféricos,Pedro,5,114.7,Yape,Sucursal Sur
36,2024-04-11,Mouse,Accesorios,Juan,4,838.59,Plin,Sucursal Sur
37,2024-05-26,Monitor,Accesorios,Ana,3,361.92,Tarjeta,Sucursal Sur
38,2024-03-12,Monitor,Electrónica,Carlos,4,812.78,Tarjeta,Sucursal Norte
39,2024-03-12,Impresora,Accesorios,Lucía,3,274.16,Plin,Sucursal Sur
40,2024-06-24,Laptop,Periféricos,Carlos,1,403.1,Efectivo,Sucursal Norte
41,2024-03-04,Teclado,Electrónica,Carlos,1,325.86,Efectivo,Sucursal Norte
42,2024-05-09,Mouse,Periféricos,Pedro,4,875.23,Efectivo,Sucursal Norte
43,2024-01-16,Teclado,Periféricos,Lucía,5,180.62,Efectivo,Sucursal Norte
44,2024-01-19,Monitor,Periféricos,Ana,2,653.52,Efectivo,Sucursal Sur
45,2024-05-15,Monitor,Accesorios,Ana,1,689.13,Yape,Sucursal Sur
46,2024-04-10,Monitor,Electrónica,Juan,3,263.9,Efectivo,Sucursal Sur
47,2024-04-27,Monitor,Electrónica,Carlos,3,697.19,Efectivo,Sucursal Norte
48,2024-04-28,Impresora,Electrónica,Juan,4,697.78,Yape,Sucursal Sur
49,2024-02-11,Teclado,Periféricos,Juan,4,543.23,Plin,Sucursal Sur
50,2024-01-12,Laptop,Electrónica,Juan,1,404.58,Yape,Sucursal Norte
51,2024-03-15,Impresora,Accesorios,Lucía,5,571.39,Efectivo,Sucursal Norte
52,2024-05-10,Mouse,Periféricos,Juan,1,934.79,Tarjeta,Sucursal Norte
53,2024-01-12,Impresora,Electrónica,Pedro,3,375.49,Plin,Sucursal Sur
54,2024-05-24,Monitor,Electrónica,Juan,3,963.52,Yape,Sucursal Sur
55,2024-03-02,Laptop,Electrónica,Juan,1,467.12,Yape,Sucursal Sur
56,2024-02-23,Mouse,Periféricos,Pedro,1,383.02,Efectivo,Sucursal Sur
57,2024-05-26,Impresora,Periféricos,Carlos,5,501.19,Efectivo,Sucursal Sur
58,2024-05-26,Monitor,Electrónica,Lucía,2,731.15,Tarjeta,Sucursal Norte
59,2024-01-16,Impresora,Accesorios,Lucía,2,985.04,Tarjeta,Sucursal Sur
60,2024-01-12,Monitor,Accesorios,Pedro,5,518.48,Tarjeta,Sucursal Norte
61,2024-06-13,Impresora,Accesorios,Ana,1,262.14,Plin,Sucursal Sur
62,2024-04-19,Impresora,Electrónica,Juan,4,182.05,Plin,Sucursal Norte
63,2024-02-17,Teclado,Accesorios,Juan,5,116.7,Plin,Sucursal Sur
64,2024-02-03,Laptop,Electrónica,Juan,1,462.04,Plin,Sucursal Norte
65,2024-01-04,Mouse,Accesorios,Carlos,2,786.75,Tarjeta,Sucursal Sur
66,2024-02-01,Teclado,Periféricos,Ana,5,630.15,Yape,Sucursal Norte
67,2024-02-08,Monitor,Accesorios,Pedro,5,755.86,Yape,Sucursal Norte
68,2024-01-26,Teclado,Electrónica,Lucía,3,928.93,Plin,Sucursal Sur
69,2024-01-19,Impresora,Accesorios,Juan,3,461.33,Yape,Sucursal Sur
70,2024-03-22,Laptop,Electrónica,Juan,2,744.27,Yape,Sucursal Norte
71,2024-01-23,Laptop,Electrónica,Ana,5,498.24,Yape,Sucursal Sur
72,2024-02-24,Laptop,Periféricos,Pedro,5,441.04,Yape,Sucursal Norte
73,2024-06-10,Laptop,Periféricos,Lucía,1,904.3,Tarjeta,Sucursal Norte
74,2024-03-18,Impresora,Electrónica,Lucía,5,855.79,Efectivo,Sucursal Norte
75,2024-04-12,Monitor,Periféricos,Carlos,2,909.78,Plin,Sucursal Norte
76,2024-01-19,Mouse,Electrónica,Juan,3,848.11,Tarjeta,Sucursal Norte
77,2024-03-01,Teclado,Accesorios,Pedro,5,846.83,Efectivo,Sucursal Sur
78,2024-01-04,Teclado,Accesorios,Ana,5,449.63,Tarjeta,Sucursal Sur
79,2024-06-15,Monitor,Accesorios,Carlos,1,600.87,Efectivo,Sucursal Norte
80,2024-01-08,Laptop,Electrónica,Lucía,3,428.08,Plin,Sucursal Sur
81,2024-04-16,Teclado,Electrónica,Lucía,3,999.63,Tarjeta,Sucursal Sur
82,2024-01-12,Monitor,Electrónica,Ana,3,372.81,Yape,Sucursal Sur
83,2024-06-14,Mouse,Electrónica,Ana,5,713.74,Yape,Sucursal Sur
84,2024-06-18,Teclado,Periféricos,Ana,4,601.59,Efectivo,Sucursal Sur
85,2024-02-03,Mouse,Electrónica,Lucía,5,336.39,Efectivo,Sucursal Sur
86,2024-03-05,Impresora,Periféricos,Pedro,2,354.29,Plin,Sucursal Norte
87,2024-01-25,Monitor,Accesorios,Juan,3,200.38,Plin,Sucursal Sur
88,2024-03-27,Impresora,Accesorios,Carlos,5,689.26,Yape,Sucursal Sur
89,2024-04-08,Impresora,Accesorios,Pedro,4,545.4,Efectivo,Sucursal Sur
90,2024-06-19,Impresora,Electrónica,Juan,3,509.67,Tarjeta,Sucursal Sur
91,2024-05-06,Teclado,Periféricos,Ana,3,754.34,Tarjeta,Sucursal Norte
92,2024-06-10,Laptop,Electrónica,Juan,1,733.55,Tarjeta,Sucursal Sur
93,2024-04-16,Monitor,Electrónica,Ana,1,150.82,Yape,Sucursal Sur
94,2024-06-11,Teclado,Electrónica,Carlos,3,592.19,Plin,Sucursal Norte
95,2024-01-18,Mouse,Periféricos,Ana,2,419.57,Efectivo,Sucursal Sur
96,2024-04-13,Monitor,Accesorios,Pedro,1,269.35,Tarjeta,Sucursal Sur
97,2024-04-17,Impresora,Accesorios,Ana,4,536.14,Efectivo,Sucursal Sur
98,2024-02-26,Monitor,Periféricos,Lucía,2,891.74,Yape,Sucursal Sur
99,2024-05-17,Teclado,Accesorios,Ana,1,637.91,Efectivo,Sucursal Sur
100,2024-03-27,Teclado,Accesorios,Lucía,3,672.79,Plin,Sucursal Norte
