ID,Fecha,Producto,Categoría,Cliente,Cantidad,Precio Unitario,Método de Pago,Sucursal
83,2024-01-13,Teclado,Electrónica,Pedro,3,954.56,Yape,Sucursal Norte
84,2024-05-19,Monitor,Electrónica,Pedro,2,559.87,Yape,Sucursal Sur
85,2024-03-08,Impresora,Accesorios,Juan,1,801.67,Yape,Sucursal Norte
86,2024-05-10,Mouse,Accesorios,Juan,2,804.91,Efectivo,Sucursal Sur
87,2024-04-23,Impresora,Electrónica,Pedro,3,774.02,Yape,Sucursal Norte
88,2024-02-06,Mouse,Periféricos,Juan,3,485.64,Yape,Sucursal Sur
89,2024-02-18,Teclado,Periféricos,Pedro,2,123.64,Plin,Sucursal Sur
90,2024-03-08,Teclado,Periféricos,Juan,4,753.91,Yape,Sucursal Sur
91,2024-02-22,Laptop,Accesorios,Lucía,5,581.12,Efectivo,Sucursal Sur
92,2024-01-03,Impresora,Periféricos,Juan,4,239.62,Efectivo,Sucursal Sur
93,2024-02-08,Mouse,Periféricos,Ana,5,308.95,Yape,Sucursal Norte
94,2024-02-21,Teclado,Accesorios,Juan,3,698.86,Yape,Sucursal Sur
95,2024-05-27,Impresora,Electrónica,Ana,5,655.11,Plin,Sucursal Sur
96,2024-02-06,Impresora,Periféricos,Carlos,5,951.61,Yape,Sucursal Sur
97,2024-05-07,Monitor,Electrónica,Juan,2,923.06,Yape,Sucursal Norte
98,2024-05-18,Monitor,Accesorios,Ana,5,233.4,Plin,Sucursal Norte
99,2024-01-18,Monitor,Electrónica,Pedro,4,764.86,Efectivo,Sucursal Sur
100,2024-03-02,Laptop,Accesorios,Pedro,1,302.77,Tarjeta,Sucursal Sur
